epoch,threshold,oof_bag_balanced_accuracy
16,0.55,0.7857142857142857
16,0.6,0.7785714285714285
16,0.65,0.7714285714285714
16,0.7,0.7642857142857142
16,0.75,0.7285714285714285
16,0.8,0.7642857142857142
16,0.85,0.7642857142857142
16,0.9,0.7428571428571429
16,0.95,0.75
17,0.05,0.6
17,0.1,0.5928571428571429
17,0.15,0.6928571428571428
17,0.2,0.6928571428571428
17,0.25,0.7428571428571429
17,0.3,0.7928571428571429
17,0.35,0.8357142857142856
17,0.4,0.8357142857142856
17,0.45,0.8285714285714285
17,0.5,0.8285714285714285
17,0.55,0.8285714285714285
17,0.6,0.8071428571428572
17,0.65,0.7928571428571428
17,0.7,0.7785714285714285
17,0.75,0.7642857142857142
17,0.8,0.7428571428571429
17,0.85,0.7857142857142858
17,0.9,0.7714285714285715
17,0.95,0.75
18,0.05,0.6
18,0.1,0.6
18,0.15,0.7
18,0.2,0.8
18,0.25,0.8
18,0.3,0.85
18,0.35,0.85
18,0.4,0.85
18,0.45,0.8428571428571429
18,0.5,0.8428571428571429
18,0.55,0.8214285714285714
18,0.6,0.8142857142857143
18,0.65,0.8
18,0.7,0.8
18,0.75,0.7857142857142857
18,0.8,0.7785714285714285
18,0.85,0.7714285714285714
18,0.9,0.75
18,0.95,0.8071428571428572
19,0.05,0.6
19,0.1,0.65
19,0.15,0.75
19,0.2,0.8
19,0.25,0.85
19,0.3,0.85
19,0.35,0.85
19,0.4,0.85
19,0.45,0.8428571428571429
19,0.5,0.8285714285714285
19,0.55,0.8214285714285714
19,0.6,0.8071428571428572
19,0.65,0.8571428571428572
19,0.7,0.8571428571428572
19,0.75,0.8428571428571429
19,0.8,0.8357142857142857
19,0.85,0.8214285714285714
19,0.9,0.8214285714285714
19,0.95,0.7785714285714286
20,0.05,0.6
20,0.1,0.65
20,0.15,0.75
20,0.2,0.8
20,0.25,0.8428571428571429
20,0.3,0.8428571428571429
20,0.35,0.8428571428571429
20,0.4,0.8428571428571429
20,0.45,0.8428571428571429
20,0.5,0.8357142857142856
20,0.55,0.8357142857142856
20,0.6,0.8142857142857143
20,0.65,0.8071428571428572
20,0.7,0.8
20,0.75,0.8
20,0.8,0.8285714285714285
20,0.85,0.8642857142857143
20,0.9,0.8357142857142857
20,0.95,0.8214285714285714
21,0.05,0.65
21,0.1,0.6928571428571428
21,0.15,0.6928571428571428
21,0.2,0.7428571428571429
21,0.25,0.8428571428571429
21,0.3,0.8285714285714285
21,0.35,0.8285714285714285
21,0.4,0.8285714285714285
21,0.45,0.8285714285714285
21,0.5,0.8214285714285714
21,0.55,0.8214285714285714
21,0.6,0.8071428571428572
21,0.65,0.8
21,0.7,0.7928571428571428
21,0.75,0.7857142857142857
21,0.8,0.7857142857142857
21,0.85,0.7785714285714285
21,0.9,0.8071428571428572
21,0.95,0.7785714285714286
22,0.05,0.65
22,0.1,0.6357142857142857
22,0.15,0.6857142857142857
22,0.2,0.6857142857142857
22,0.25,0.7285714285714286
22,0.3,0.7785714285714286
22,0.35,0.7785714285714286
22,0.4,0.8214285714285714
22,0.45,0.8214285714285714
22,0.5,0.8214285714285714
22,0.55,0.8071428571428572
22,0.6,0.8071428571428572
22,0.65,0.8
22,0.7,0.7928571428571428
22,0.75,0.7857142857142857
22,0.8,0.7857142857142857
22,0.85,0.7714285714285714
22,0.9,0.7642857142857142
22,0.95,0.7857142857142858
23,0.05,0.55
23,0.1,0.7
23,0.15,0.7357142857142858
23,0.2,0.7357142857142858
23,0.25,0.7357142857142858
23,0.3,0.7357142857142858
23,0.35,0.7357142857142858
23,0.4,0.7214285714285714
23,0.45,0.7714285714285714
23,0.5,0.8214285714285714
23,0.55,0.8214285714285714
23,0.6,0.8214285714285714
23,0.65,0.8142857142857143
23,0.7,0.8142857142857143
23,0.75,0.8142857142857143
23,0.8,0.8071428571428572
23,0.85,0.7857142857142857
23,0.9,0.7571428571428571
23,0.95,0.7357142857142858
24,0.05,0.55
24,0.1,0.7
24,0.15,0.75
24,0.2,0.7428571428571429
24,0.25,0.7428571428571429
24,0.3,0.7357142857142858
24,0.35,0.7357142857142858
24,0.4,0.7857142857142857
24,0.45,0.8214285714285714
24,0.5,0.8214285714285714
24,0.55,0.8214285714285714
24,0.6,0.8214285714285714
24,0.65,0.8214285714285714
24,0.7,0.8142857142857143
24,0.75,0.8142857142857143
24,0.8,0.8071428571428572
24,0.85,0.8071428571428572
24,0.9,0.7714285714285714
24,0.95,0.7285714285714285
25,0.05,0.6
25,0.1,0.7
25,0.15,0.75
25,0.2,0.8
25,0.25,0.8
25,0.3,0.8
25,0.35,0.7928571428571429
25,0.4,0.8357142857142856
25,0.45,0.8357142857142856
25,0.5,0.8142857142857143
25,0.55,0.8142857142857143
25,0.6,0.8142857142857143
25,0.65,0.8071428571428572
25,0.7,0.8
25,0.75,0.7928571428571428
25,0.8,0.7714285714285714
25,0.85,0.7571428571428571
25,0.9,0.7285714285714285
25,0.95,0.7571428571428571
26,0.05,0.5428571428571429
26,0.1,0.6928571428571428
26,0.15,0.7928571428571429
26,0.2,0.7857142857142857
26,0.25,0.7785714285714286
26,0.3,0.7785714285714286
26,0.35,0.7714285714285714
26,0.4,0.8214285714285714
26,0.45,0.8
26,0.5,0.7928571428571428
26,0.55,0.7928571428571428
26,0.6,0.7928571428571428
26,0.65,0.7785714285714285
26,0.7,0.7785714285714285
26,0.75,0.7714285714285714
26,0.8,0.7714285714285714
26,0.85,0.7571428571428571
26,0.9,0.8
26,0.95,0.7571428571428571
27,0.05,0.5428571428571429
27,0.1,0.5428571428571429
27,0.15,0.7428571428571429
27,0.2,0.7428571428571429
27,0.25,0.7928571428571429
27,0.3,0.7928571428571429
27,0.35,0.7928571428571429
27,0.4,0.7857142857142857
27,0.45,0.8142857142857143
27,0.5,0.8142857142857143
27,0.55,0.8142857142857143
27,0.6,0.8142857142857143
27,0.65,0.8071428571428572
27,0.7,0.7928571428571428
27,0.75,0.7928571428571428
27,0.8,0.7857142857142857
27,0.85,0.7857142857142857
27,0.9,0.8214285714285714
27,0.95,0.8
28,0.05,0.5428571428571429
28,0.1,0.6428571428571429
28,0.15,0.6428571428571429
28,0.2,0.6928571428571428
28,0.25,0.7928571428571429
28,0.3,0.8428571428571429
28,0.35,0.8357142857142856
28,0.4,0.8357142857142856
28,0.45,0.8357142857142856
28,0.5,0.8357142857142856
28,0.55,0.8357142857142856
28,0.6,0.8214285714285714
28,0.65,0.8142857142857143
28,0.7,0.8142857142857143
28,0.75,0.8142857142857143
28,0.8,0.8142857142857143
28,0.85,0.8142857142857143
28,0.9,0.7928571428571428
28,0.95,0.8142857142857143
29,0.05,0.6428571428571429
29,0.1,0.6928571428571428
29,0.15,0.7357142857142858
29,0.2,0.7357142857142858
29,0.25,0.7357142857142858
29,0.3,0.8357142857142856
29,0.35,0.8357142857142856
29,0.4,0.8357142857142856
29,0.45,0.8357142857142856
29,0.5,0.8357142857142856
29,0.55,0.8357142857142856
29,0.6,0.8357142857142856
29,0.65,0.8357142857142856
29,0.7,0.8357142857142856
29,0.75,0.8285714285714285
29,0.8,0.8214285714285714
29,0.85,0.8142857142857143
29,0.9,0.8
29,0.95,0.7785714285714285
30,0.05,0.65
30,0.1,0.6928571428571428
30,0.15,0.7428571428571429
30,0.2,0.7428571428571429
30,0.25,0.7928571428571429
30,0.3,0.7928571428571429
30,0.35,0.7928571428571429
30,0.4,0.7928571428571429
30,0.45,0.7928571428571429
30,0.5,0.8428571428571429
30,0.55,0.8357142857142856
30,0.6,0.8285714285714285
30,0.65,0.8285714285714285
30,0.7,0.8285714285714285
30,0.75,0.8071428571428572
30,0.8,0.8
30,0.85,0.8
30,0.9,0.7785714285714285
30,0.95,0.7571428571428571
